fold	word	gold	pred	left_ctx	right_ctx	sentence
3	ήταν	Verb (lexical)	Auxiliary Verb	<BOS>	η	ήταν η Τερέζα και η Αλεξία
3	δαμέ	Lexical Adverb	Noun (lexical)	<BOS>	κανένας	δαμέ κανένας εν έρκεται επειδή πριν δέκα μέρες είσ̆εν δυστύχημαν
3	κανένας	Determiner: Quantifier	Noun (lexical)	δαμέ	εν	δαμέ κανένας εν έρκεται επειδή πριν δέκα μέρες είσ̆εν δυστύχημαν
3	πριν	Lexical Adverb	Noun (lexical)	επειδή	δέκα	δαμέ κανένας εν έρκεται επειδή πριν δέκα μέρες είσ̆εν δυστύχημαν
3	δέκα	Numeral Adjective	Noun (lexical)	πριν	μέρες	δαμέ κανένας εν έρκεται επειδή πριν δέκα μέρες είσ̆εν δυστύχημαν
3	είσ̆εν	Auxiliary Verb	Verb (lexical)	μέρες	δυστύχημαν	δαμέ κανένας εν έρκεται επειδή πριν δέκα μέρες είσ̆εν δυστύχημαν
3	μεν	Negation Particle	Verb (lexical)	να	ξεράνουν	να μεν ξεράνουν εν κρίμα τα καημένα τζ̆αι εν πολλά όμορφα δέντρα
3	ξεράνουν	Verb (lexical)	Noun (lexical)	μεν	εν	να μεν ξεράνουν εν κρίμα τα καημένα τζ̆αι εν πολλά όμορφα δέντρα
3	εν	Copula Verb	Negation Particle	ξεράνουν	κρίμα	να μεν ξεράνουν εν κρίμα τα καημένα τζ̆αι εν πολλά όμορφα δέντρα
3	καημένα	Adjective (lexical)	Noun (lexical)	τα	τζ̆αι	να μεν ξεράνουν εν κρίμα τα καημένα τζ̆αι εν πολλά όμορφα δέντρα
3	εν	Copula Verb	Negation Particle	τζ̆αι	πολλά	να μεν ξεράνουν εν κρίμα τα καημένα τζ̆αι εν πολλά όμορφα δέντρα
3	πολλά	Lexical Adverb	Adjective (lexical)	εν	όμορφα	να μεν ξεράνουν εν κρίμα τα καημένα τζ̆αι εν πολλά όμορφα δέντρα
3	όμορφα	Lexical Adverb	Noun (lexical)	πολλά	δέντρα	να μεν ξεράνουν εν κρίμα τα καημένα τζ̆αι εν πολλά όμορφα δέντρα
3	τούτα	Pronoun	Noun (lexical)	<BOS>	εν	τούτα εν πολλά δυνατά για  εμένα προτιμώ πιο μιτσ̆ά
3	εν	Copula Verb	Negation Particle	τούτα	πολλά	τούτα εν πολλά δυνατά για  εμένα προτιμώ πιο μιτσ̆ά
3	πολλά	Lexical Adverb	Adjective (lexical)	εν	δυνατά	τούτα εν πολλά δυνατά για  εμένα προτιμώ πιο μιτσ̆ά
3	δυνατά	Adjective (lexical)	Noun (lexical)	πολλά	για 	τούτα εν πολλά δυνατά για  εμένα προτιμώ πιο μιτσ̆ά
3	για 	Preposition	Noun (lexical)	δυνατά	εμένα	τούτα εν πολλά δυνατά για  εμένα προτιμώ πιο μιτσ̆ά
3	εμένα	Pronoun	Noun (lexical)	για 	προτιμώ	τούτα εν πολλά δυνατά για  εμένα προτιμώ πιο μιτσ̆ά
3	προτιμώ	Verb (lexical)	Noun (lexical)	εμένα	πιο	τούτα εν πολλά δυνατά για  εμένα προτιμώ πιο μιτσ̆ά
3	πιο	Lexical Adverb	Noun (lexical)	προτιμώ	μιτσ̆ά	τούτα εν πολλά δυνατά για  εμένα προτιμώ πιο μιτσ̆ά
3	μιτσ̆ά	Adjective (lexical)	Noun (lexical)	πιο	<EOS>	τούτα εν πολλά δυνατά για  εμένα προτιμώ πιο μιτσ̆ά
4	μιτά	Lexical Adverb	Noun (lexical)	επήρεν	του	ο ομονοιάτης επήρεν μιτά του αποελίστες τζ̆αι έσ̆σ̆ιζεν τους
4	εσ̆σ̆ίστηκαν	Verb (lexical)	Noun (lexical)	<BOS>	τα	εσ̆σ̆ίστηκαν τα εσσώρουχα μου
4	εχτές	Lexical Adverb	Noun (lexical)	<BOS>	έδωκα	εχτές έδωκα κάτω πού την μεάλη σκάλαν τζ̆αι εσ̆σ̆υλλοπόνησα
4	έδωκα	Verb (lexical)	Noun (lexical)	εχτές	κάτω	εχτές έδωκα κάτω πού την μεάλη σκάλαν τζ̆αι εσ̆σ̆υλλοπόνησα
4	κάτω	Lexical Adverb	Function Adverb	έδωκα	πού	εχτές έδωκα κάτω πού την μεάλη σκάλαν τζ̆αι εσ̆σ̆υλλοπόνησα
4	πού	Preposition	Noun (lexical)	κάτω	την	εχτές έδωκα κάτω πού την μεάλη σκάλαν τζ̆αι εσ̆σ̆υλλοπόνησα
4	την	Pronoun	Determiner: Article	πού	μεάλη	εχτές έδωκα κάτω πού την μεάλη σκάλαν τζ̆αι εσ̆σ̆υλλοπόνησα
4	μεάλη	Adjective (lexical)	Noun (lexical)	την	σκάλαν	εχτές έδωκα κάτω πού την μεάλη σκάλαν τζ̆αι εσ̆σ̆υλλοπόνησα
4	εσ̆σ̆υλλοπόνησα	Verb (lexical)	Noun (lexical)	τζ̆αι	<EOS>	εχτές έδωκα κάτω πού την μεάλη σκάλαν τζ̆αι εσ̆σ̆υλλοπόνησα
4	κίτρινη	Adjective (lexical)	Noun (lexical)	είναι 	με	είναι  κίτρινη με άσπρον τζ̆αι μαύρες βούλες
4	άσπρον	Adjective (lexical)	Noun (lexical)	με	τζ̆αι	είναι  κίτρινη με άσπρον τζ̆αι μαύρες βούλες
4	μαύρες	Adjective (lexical)	Noun (lexical)	τζ̆αι	βούλες	είναι  κίτρινη με άσπρον τζ̆αι μαύρες βούλες
4	βάλε	Verb (lexical)	Noun (lexical)	<BOS>	τα	βάλε τα
4	εν	Copula Verb	Negation Particle	<BOS>	χιονάνθρωπος	εν χιονάνθρωπος
4	περπατά	Verb (lexical)	Noun (lexical)	<BOS>	στο	περπατά στο δρόμον στην άκρη
4	ήταν	Copula Verb	Verb (lexical)	<BOS>	μπλε	ήταν μπλε το φόρεμαν της σταχτοπούτας
4	της	Determiner: Article	Pronoun	φόρεμαν	σταχτοπούτας	ήταν μπλε το φόρεμαν της σταχτοπούτας
4	τρώω	Verb (lexical)	Noun (lexical)	μου	τυρόπιτα	εγώ στο σχολείον μου τρώω τυρόπιτα τζ̆αι γαλατάκι
4	σταμάτα	Verb (lexical)	Noun (lexical)	<BOS>	να	σταμάτα να διάς το τηλέφωνο σου της κάθεμιας τζ̆αι εβαρέθηκα να σου το λαλώ συνέχεια
4	να	Complimentiser	Subordinating Conjunction	σταμάτα	διάς	σταμάτα να διάς το τηλέφωνο σου της κάθεμιας τζ̆αι εβαρέθηκα να σου το λαλώ συνέχεια
4	διάς	Verb (lexical)	Noun (lexical)	να	το	σταμάτα να διάς το τηλέφωνο σου της κάθεμιας τζ̆αι εβαρέθηκα να σου το λαλώ συνέχεια
4	κάθεμιας	Determiner: Quantifier	Noun (lexical)	της	τζ̆αι	σταμάτα να διάς το τηλέφωνο σου της κάθεμιας τζ̆αι εβαρέθηκα να σου το λαλώ συνέχεια
4	εβαρέθηκα	Verb (lexical)	Noun (lexical)	τζ̆αι	να	σταμάτα να διάς το τηλέφωνο σου της κάθεμιας τζ̆αι εβαρέθηκα να σου το λαλώ συνέχεια
4	να	Complimentiser	Subordinating Conjunction	εβαρέθηκα	σου	σταμάτα να διάς το τηλέφωνο σου της κάθεμιας τζ̆αι εβαρέθηκα να σου το λαλώ συνέχεια
4	λαλώ	Verb (lexical)	Noun (lexical)	το	συνέχεια	σταμάτα να διάς το τηλέφωνο σου της κάθεμιας τζ̆αι εβαρέθηκα να σου το λαλώ συνέχεια
4	συνέχεια	Lexical Adverb	Noun (lexical)	λαλώ	<EOS>	σταμάτα να διάς το τηλέφωνο σου της κάθεμιας τζ̆αι εβαρέθηκα να σου το λαλώ συνέχεια
5	τόσα	Function Adverb	Noun (lexical)	<BOS>	φοινίτζ̆ια	τόσα φοινίτζ̆ια εν  είδα ξανά ποττέ μου
5	εν 	Negation Particle	Noun (lexical)	φοινίτζ̆ια	είδα	τόσα φοινίτζ̆ια εν  είδα ξανά ποττέ μου
5	είδα	Verb (lexical)	Noun (lexical)	εν 	ξανά	τόσα φοινίτζ̆ια εν  είδα ξανά ποττέ μου
5	ξανά	Lexical Adverb	Noun (lexical)	είδα	ποττέ	τόσα φοινίτζ̆ια εν  είδα ξανά ποττέ μου
5	ποττέ	Function Adverb	Noun (lexical)	ξανά	μου	τόσα φοινίτζ̆ια εν  είδα ξανά ποττέ μου
5	την	Pronoun	Determiner: Article	που	Λευκωσία	είμαι που την Λευκωσία
5	το	Pronoun	Determiner: Article	<BOS>	νερόν	το νερόν είναι  αγιασμένον
5	αγιασμένον	Participial Adjective	Noun (lexical)	είναι 	<EOS>	το νερόν είναι  αγιασμένον
5	βουρά	Verb (lexical)	Noun (lexical)	γέρος	έξω	ο γέρος βουρά έξω που το σπίτιν του τζ̆αι συνάει μανιτάρκα για την κρητικήν σούππα
5	έξω	Lexical Adverb	Verb (lexical)	βουρά	που	ο γέρος βουρά έξω που το σπίτιν του τζ̆αι συνάει μανιτάρκα για την κρητικήν σούππα
5	το	Pronoun	Determiner: Article	που	σπίτιν	ο γέρος βουρά έξω που το σπίτιν του τζ̆αι συνάει μανιτάρκα για την κρητικήν σούππα
5	την	Pronoun	Determiner: Article	για	κρητικήν	ο γέρος βουρά έξω που το σπίτιν του τζ̆αι συνάει μανιτάρκα για την κρητικήν σούππα
5	κρητικήν	Adjective (lexical)	Noun (lexical)	την	σούππα	ο γέρος βουρά έξω που το σπίτιν του τζ̆αι συνάει μανιτάρκα για την κρητικήν σούππα
5	κάθε	Determiner: Quantifier	Pronoun	βρέσ̆ει	μέρα	βρέσ̆ει κάθε μέρα στην Κύπρον τούτον τον μήναν
5	τούτον	Pronoun	Noun (lexical)	Κύπρον	τον	βρέσ̆ει κάθε μέρα στην Κύπρον τούτον τον μήναν
5	φτιάξω	Verb (lexical)	Noun (lexical)	εννά	άλλη	εννά φτιάξω άλλη θέλεις
5	θέλεις	Verb (lexical)	Noun (lexical)	άλλη	<EOS>	εννά φτιάξω άλλη θέλεις
5	βάλω	Verb (lexical)	Noun (lexical)	εννά	κοτόπουλλον	εννά βάλω κοτόπουλλον εκείνα που σου είπα όι άλλα υλικά
5	εκείνα	Pronoun	Noun (lexical)	κοτόπουλλον	που	εννά βάλω κοτόπουλλον εκείνα που σου είπα όι άλλα υλικά
5	είπα	Verb (lexical)	Noun (lexical)	σου	όι	εννά βάλω κοτόπουλλον εκείνα που σου είπα όι άλλα υλικά
5	όι	Negation Particle	Noun (lexical)	είπα	άλλα	εννά βάλω κοτόπουλλον εκείνα που σου είπα όι άλλα υλικά
5	υλικά	Noun (lexical)	Lexical Adverb	άλλα	<EOS>	εννά βάλω κοτόπουλλον εκείνα που σου είπα όι άλλα υλικά
5	έσ̆ει	Auxiliary Verb	Verb (lexical)	κούκλα	γάντι	η κούκλα έσ̆ει γάντι φόρεμαν μπότες τζ̆αι καππέλλον
5	ένα	Adjective (lexical)	Numeral Adjective	<BOS>	παπί	ένα παπί που χοροππηδά πάνω κάτω
5	χοροππηδά	Verb (lexical)	Noun (lexical)	που	πάνω	ένα παπί που χοροππηδά πάνω κάτω
5	κάτω	Function Adverb	Lexical Adverb	πάνω	<EOS>	ένα παπί που χοροππηδά πάνω κάτω
5	τες	Pronoun	Determiner: Article	που	εργασίες	ο δάσκαλος επέλλανεν μας που τες εργασίες αλλά εν καλός
5	καλός	Adjective (lexical)	Noun (lexical)	εν	<EOS>	ο δάσκαλος επέλλανεν μας που τες εργασίες αλλά εν καλός
5	πίνουμε	Verb (lexical)	Noun (lexical)	<BOS>	το	πίνουμε το γάλα μας και τρώμε τα κονφλέικς μας κάθε πρωί
5	τρώμε	Verb (lexical)	Noun (lexical)	και	τα	πίνουμε το γάλα μας και τρώμε τα κονφλέικς μας κάθε πρωί
