fold	word	gold	pred	left_ctx	right_ctx	sentence
1	με	Subordinating Conjunction	Preposition	επήεν	το	έφυεν η μάμμα επήεν με το αυτοκίνητον
1	νίφκεται	Verb (lexical)	Copula Verb	<BOS>	με	νίφκεται με νερόν τζ̆αι σαπούνιν
1	σαπούνιν	Noun (lexical)	Verb (lexical)	τζ̆αι	<EOS>	νίφκεται με νερόν τζ̆αι σαπούνιν
1	εγέμισε	Verb (lexical)	Copula Verb	του	λάσπες	το παντελόνιν του εγέμισε λάσπες
1	λάσπες	Noun (lexical)	Adjective (lexical)	εγέμισε	<EOS>	το παντελόνιν του εγέμισε λάσπες
1	τρώει	Verb (lexical)	Pronoun	μέρα	γλυκά	ο γυμναστής κάθε μέρα τρώει γλυκά αλλά εν βάλλει κιλά διότι πάει στο γυμναστήριο
1	εν	Negation Particle	Copula Verb	αλλά	βάλλει	ο γυμναστής κάθε μέρα τρώει γλυκά αλλά εν βάλλει κιλά διότι πάει στο γυμναστήριο
1	βάλλει	Verb (lexical)	Adjective (lexical)	εν	κιλά	ο γυμναστής κάθε μέρα τρώει γλυκά αλλά εν βάλλει κιλά διότι πάει στο γυμναστήριο
1	πάει	Verb (lexical)	Negation Particle	διότι	στο	ο γυμναστής κάθε μέρα τρώει γλυκά αλλά εν βάλλει κιλά διότι πάει στο γυμναστήριο
1	γυμναστήριο	Noun (lexical)	Pronoun	στο	<EOS>	ο γυμναστής κάθε μέρα τρώει γλυκά αλλά εν βάλλει κιλά διότι πάει στο γυμναστήριο
1	τρώει	Verb (lexical)	Coordinating Conjunction	λαγός	χόρτα	ο λαγός τρώει χόρτα που την  αυλή μας στο βουνό
1	χόρτα	Noun (lexical)	Copula Verb	τρώει	που	ο λαγός τρώει χόρτα που την  αυλή μας στο βουνό
1	βουνό	Noun (lexical)	Pronoun	στο	<EOS>	ο λαγός τρώει χόρτα που την  αυλή μας στο βουνό
1	ήταν	Verb (lexical)	Copula Verb	που	την 	το πουλί που ήταν την  άλλη φορά στο σπίτι μου εσταμάτησεν να έρκεται επειδή εν βρίσκει πλέον νερόν
1	την 	Determiner: Article	Preposition	ήταν	άλλη	το πουλί που ήταν την  άλλη φορά στο σπίτι μου εσταμάτησεν να έρκεται επειδή εν βρίσκει πλέον νερόν
1	φορά	Noun (lexical)	Copula Verb	άλλη	στο	το πουλί που ήταν την  άλλη φορά στο σπίτι μου εσταμάτησεν να έρκεται επειδή εν βρίσκει πλέον νερόν
1	εσταμάτησεν	Verb (lexical)	Noun (lexical)	μου	να	το πουλί που ήταν την  άλλη φορά στο σπίτι μου εσταμάτησεν να έρκεται επειδή εν βρίσκει πλέον νερόν
1	πλέον	Lexical Adverb	Determiner: Article	βρίσκει	νερόν	το πουλί που ήταν την  άλλη φορά στο σπίτι μου εσταμάτησεν να έρκεται επειδή εν βρίσκει πλέον νερόν
2	έντεκα	Numeral Adjective	Determiner: Article	είχαν	γιλέκκα	είχαν έντεκα γιλέκκα που ήταν που την Κύπρον τζ̆αι επετάξαν τα
2	ήταν	Auxiliary Verb	Verb (lexical)	που	που	είχαν έντεκα γιλέκκα που ήταν που την Κύπρον τζ̆αι επετάξαν τα
2	την	Determiner: Article	Pronoun	που	Κύπρον	είχαν έντεκα γιλέκκα που ήταν που την Κύπρον τζ̆αι επετάξαν τα
2	σαν	Preposition	Adjective (lexical)	είμαι	σ̆σ̆υλλιά	είμαι σαν σ̆σ̆υλλιά βρεμένα
2	σ̆σ̆υλλιά	Noun (lexical)	Preposition	σαν	βρεμένα	είμαι σαν σ̆σ̆υλλιά βρεμένα
2	βρεμένα	Adjective (lexical)	Pronoun	σ̆σ̆υλλιά	<EOS>	είμαι σαν σ̆σ̆υλλιά βρεμένα
2	επέθανεν	Verb (lexical)	Pronoun	Μάριος	αναζητώντας	ο Μάριος επέθανεν αναζητώντας τους κότσ̆ινους βάτραχους τζ̆αι τους μπλε κύκνους
2	αναζητώντας	Gerund	Noun (lexical)	επέθανεν	τους	ο Μάριος επέθανεν αναζητώντας τους κότσ̆ινους βάτραχους τζ̆αι τους μπλε κύκνους
2	κότσ̆ινους	Adjective (lexical)	Copula Verb	τους	βάτραχους	ο Μάριος επέθανεν αναζητώντας τους κότσ̆ινους βάτραχους τζ̆αι τους μπλε κύκνους
2	βάτραχους	Noun (lexical)	Adjective (lexical)	κότσ̆ινους	τζ̆αι	ο Μάριος επέθανεν αναζητώντας τους κότσ̆ινους βάτραχους τζ̆αι τους μπλε κύκνους
2	τους	Pronoun	Copula Verb	τζ̆αι	μπλε	ο Μάριος επέθανεν αναζητώντας τους κότσ̆ινους βάτραχους τζ̆αι τους μπλε κύκνους
2	κύκνους	Noun (lexical)	Coordinating Conjunction	μπλε	<EOS>	ο Μάριος επέθανεν αναζητώντας τους κότσ̆ινους βάτραχους τζ̆αι τους μπλε κύκνους
2	προσεύχουμαι	Verb (lexical)	Modal Verb	<BOS>	να	προσεύχουμαι να κερδίσω διπλά ριάλλια πέρκιμον πάω πούποτε διακοπές το πάσχα με την Κωνσταντίνα
2	κερδίσω	Verb (lexical)	Negation Particle	να	διπλά	προσεύχουμαι να κερδίσω διπλά ριάλλια πέρκιμον πάω πούποτε διακοπές το πάσχα με την Κωνσταντίνα
2	διπλά	Numeral Adverb	Verb (lexical)	κερδίσω	ριάλλια	προσεύχουμαι να κερδίσω διπλά ριάλλια πέρκιμον πάω πούποτε διακοπές το πάσχα με την Κωνσταντίνα
2	ριάλλια	Noun (lexical)	Determiner: Article	διπλά	πέρκιμον	προσεύχουμαι να κερδίσω διπλά ριάλλια πέρκιμον πάω πούποτε διακοπές το πάσχα με την Κωνσταντίνα
2	πέρκιμον	Function Adverb	Noun (lexical)	ριάλλια	πάω	προσεύχουμαι να κερδίσω διπλά ριάλλια πέρκιμον πάω πούποτε διακοπές το πάσχα με την Κωνσταντίνα
2	πάω	Verb (lexical)	Subordinating Conjunction	πέρκιμον	πούποτε	προσεύχουμαι να κερδίσω διπλά ριάλλια πέρκιμον πάω πούποτε διακοπές το πάσχα με την Κωνσταντίνα
2	πούποτε	Lexical Adverb	Negation Particle	πάω	διακοπές	προσεύχουμαι να κερδίσω διπλά ριάλλια πέρκιμον πάω πούποτε διακοπές το πάσχα με την Κωνσταντίνα
2	διακοπές	Noun (lexical)	Verb (lexical)	πούποτε	το	προσεύχουμαι να κερδίσω διπλά ριάλλια πέρκιμον πάω πούποτε διακοπές το πάσχα με την Κωνσταντίνα
2	το	Pronoun	Determiner: Article	διακοπές	πάσχα	προσεύχουμαι να κερδίσω διπλά ριάλλια πέρκιμον πάω πούποτε διακοπές το πάσχα με την Κωνσταντίνα
2	εμπήκασιν	Verb (lexical)	Copula Verb	<BOS>	μέσα	εμπήκασιν μέσα στο απίστευτον πλοίον του καπετάνιου αφούτις επληρώσαμεν για λλόου τους
2	μέσα	Lexical Adverb	Adjective (lexical)	εμπήκασιν	στο	εμπήκασιν μέσα στο απίστευτον πλοίον του καπετάνιου αφούτις επληρώσαμεν για λλόου τους
2	απίστευτον	Adjective (lexical)	Determiner: Article	στο	πλοίον	εμπήκασιν μέσα στο απίστευτον πλοίον του καπετάνιου αφούτις επληρώσαμεν για λλόου τους
2	καπετάνιου	Noun (lexical)	Copula Verb	του	αφούτις	εμπήκασιν μέσα στο απίστευτον πλοίον του καπετάνιου αφούτις επληρώσαμεν για λλόου τους
2	αφούτις	Subordinating Conjunction	Lexical Adverb	καπετάνιου	επληρώσαμεν	εμπήκασιν μέσα στο απίστευτον πλοίον του καπετάνιου αφούτις επληρώσαμεν για λλόου τους
2	επληρώσαμεν	Verb (lexical)	Adjective (lexical)	αφούτις	για	εμπήκασιν μέσα στο απίστευτον πλοίον του καπετάνιου αφούτις επληρώσαμεν για λλόου τους
2	λλόου	Pronoun	Noun (lexical)	για	τους	εμπήκασιν μέσα στο απίστευτον πλοίον του καπετάνιου αφούτις επληρώσαμεν για λλόου τους
2	έχω	Verb (lexical)	Copula Verb	<BOS>	κάμποσες	έχω κάμποσες κλάτσες για τον Σεπτέμβρη
2	κάμποσες	Determiner: Quantifier	Lexical Adverb	έχω	κλάτσες	έχω κάμποσες κλάτσες για τον Σεπτέμβρη
2	κλάτσες	Noun (lexical)	Adjective (lexical)	κάμποσες	για	έχω κάμποσες κλάτσες για τον Σεπτέμβρη
2	είσ̆εν	Verb (lexical)	Copula Verb	<BOS>	πολλά	είσ̆εν πολλά παιχνίδια με την μάμμα και τον παπάν μου
2	πολλά	Adjective (lexical)	Lexical Adverb	είσ̆εν	παιχνίδια	είσ̆εν πολλά παιχνίδια με την μάμμα και τον παπάν μου
2	παιχνίδια	Noun (lexical)	Adjective (lexical)	πολλά	με	είσ̆εν πολλά παιχνίδια με την μάμμα και τον παπάν μου
2	την	Determiner: Article	Pronoun	με	μάμμα	είσ̆εν πολλά παιχνίδια με την μάμμα και τον παπάν μου
2	τον	Determiner: Article	Pronoun	και	παπάν	είσ̆εν πολλά παιχνίδια με την μάμμα και τον παπάν μου
2	τους 	Pronoun	Coordinating Conjunction	σπίτκια	εν	τα σπίτκια τους  εν δίπλα τζ̆αι παίζουν το απόγευμαν
2	δίπλα	Function Adverb	Adjective (lexical)	εν	τζ̆αι	τα σπίτκια τους  εν δίπλα τζ̆αι παίζουν το απόγευμαν
2	μετά	Function Adverb	Noun (lexical)	μου	με	εννά πλύννω τα δόντια μου μετά με την οδοντόπαστα και την οδοντόβουρτσα να είναι καθαρά τζ̆αι άσπρα
2	την	Determiner: Article	Pronoun	με	οδοντόπαστα	εννά πλύννω τα δόντια μου μετά με την οδοντόπαστα και την οδοντόβουρτσα να είναι καθαρά τζ̆αι άσπρα
2	την	Determiner: Article	Pronoun	και	οδοντόβουρτσα	εννά πλύννω τα δόντια μου μετά με την οδοντόπαστα και την οδοντόβουρτσα να είναι καθαρά τζ̆αι άσπρα
2	να	Complimentiser	Subordinating Conjunction	οδοντόβουρτσα	είναι	εννά πλύννω τα δόντια μου μετά με την οδοντόπαστα και την οδοντόβουρτσα να είναι καθαρά τζ̆αι άσπρα
2	είναι	Copula Verb	Negation Particle	να	καθαρά	εννά πλύννω τα δόντια μου μετά με την οδοντόπαστα και την οδοντόβουρτσα να είναι καθαρά τζ̆αι άσπρα
2	καθαρά	Adjective (lexical)	Verb (lexical)	είναι	τζ̆αι	εννά πλύννω τα δόντια μου μετά με την οδοντόπαστα και την οδοντόβουρτσα να είναι καθαρά τζ̆αι άσπρα
2	άσπρα	Adjective (lexical)	Verb (lexical)	τζ̆αι	<EOS>	εννά πλύννω τα δόντια μου μετά με την οδοντόπαστα και την οδοντόβουρτσα να είναι καθαρά τζ̆αι άσπρα
2	κλέει	Verb (lexical)	Modal Verb	εννά	<EOS>	εννά πονεί τζ̆αι εννά κλέει
2	ένα	Numeral Adjective	Adjective (lexical)	τζ̆αι	πουκάμισο	είσ̆ες τζ̆αι ένα πουκάμισο όπως του παπά μου
2	πουκάμισο	Noun (lexical)	Preposition	ένα	όπως	είσ̆ες τζ̆αι ένα πουκάμισο όπως του παπά μου
2	όπως	Function Adverb	Noun (lexical)	πουκάμισο	του	είσ̆ες τζ̆αι ένα πουκάμισο όπως του παπά μου
2	του	Determiner: Article	Pronoun	όπως	παπά	είσ̆ες τζ̆αι ένα πουκάμισο όπως του παπά μου
2	αρρώστησε	Verb (lexical)	Pronoun	κύριος	<EOS>	ο κύριος αρρώστησε
3	είσαι	Copula Verb	Other Particle	<BOS>	ένας	είσαι ένας λεβεντάθρωπος
3	ένας	Determiner: Article	Modal Verb	είσαι	λεβεντάθρωπος	είσαι ένας λεβεντάθρωπος
3	λεβεντάθρωπος	Noun (lexical)	Subordinating Conjunction	ένας	<EOS>	είσαι ένας λεβεντάθρωπος
3	εδουλεύκασιν	Verb (lexical)	Modal Verb	<BOS>	διότι	εδουλεύκασιν διότι εν έχουν ψωμίν να φαν
3	ψωμίν	Noun (lexical)	Lexical Adverb	έχουν	να	εδουλεύκασιν διότι εν έχουν ψωμίν να φαν
3	θέλω	Verb (lexical)	Other Particle	<BOS>	σοκολάτες	θέλω σοκολάτες να φάμεν τζ̆αι άλλα παιχνίθκια να παίξουμεν μαζίν
3	σοκολάτες	Noun (lexical)	Modal Verb	θέλω	να	θέλω σοκολάτες να φάμεν τζ̆αι άλλα παιχνίθκια να παίξουμεν μαζίν
3	άλλα	Pronoun	Other Particle	τζ̆αι	παιχνίθκια	θέλω σοκολάτες να φάμεν τζ̆αι άλλα παιχνίθκια να παίξουμεν μαζίν
3	παιχνίθκια	Noun (lexical)	Modal Verb	άλλα	να	θέλω σοκολάτες να φάμεν τζ̆αι άλλα παιχνίθκια να παίξουμεν μαζίν
3	μαζίν	Function Adverb	Lexical Adverb	παίξουμεν	<EOS>	θέλω σοκολάτες να φάμεν τζ̆αι άλλα παιχνίθκια να παίξουμεν μαζίν
3	εν	Negation Particle	Copula Verb	<BOS>	επήα	εν επήα εν με πήραν ο παππούς τζ̆αι η γιαγιά
3	επήα	Verb (lexical)	Participial Adjective	εν	εν	εν επήα εν με πήραν ο παππούς τζ̆αι η γιαγιά
3	εν	Negation Particle	Copula Verb	επήα	με	εν επήα εν με πήραν ο παππούς τζ̆αι η γιαγιά
3	πήραν	Verb (lexical)	Adjective (lexical)	με	ο	εν επήα εν με πήραν ο παππούς τζ̆αι η γιαγιά
3	έππεσεν	Verb (lexical)	Copula Verb	<BOS>	πάνω	έππεσεν πάνω γάλα τζ̆αι μέλιν
3	πάνω	Function Adverb	Adjective (lexical)	έππεσεν	γάλα	έππεσεν πάνω γάλα τζ̆αι μέλιν
3	μέλιν	Noun (lexical)	Verb (lexical)	τζ̆αι	<EOS>	έππεσεν πάνω γάλα τζ̆αι μέλιν
3	ποιον	Preposition	Copula Verb	<BOS>	μωρόν	ποιον μωρόν έπαιξεν τζ̆αι ανακάτεψεν τα ούλλα
3	μωρόν	Noun (lexical)	Adjective (lexical)	ποιον	έπαιξεν	ποιον μωρόν έπαιξεν τζ̆αι ανακάτεψεν τα ούλλα
3	έπαιξεν	Verb (lexical)	Noun (lexical)	μωρόν	τζ̆αι	ποιον μωρόν έπαιξεν τζ̆αι ανακάτεψεν τα ούλλα
3	εγόρασεν	Verb (lexical)	Preposition	γιαγιά	μας	η γιαγιά εγόρασεν μας φρουτάκια να φάμεν
3	φρουτάκια	Noun (lexical)	Verb (lexical)	μας	να	η γιαγιά εγόρασεν μας φρουτάκια να φάμεν
3	δαμέ	Lexical Adverb	Other Particle	<BOS>	κανένας	δαμέ κανένας εν έρκεται επειδή πριν δέκα μέρες είσ̆εν δυστύχημαν
3	κανένας	Determiner: Quantifier	Modal Verb	δαμέ	εν	δαμέ κανένας εν έρκεται επειδή πριν δέκα μέρες είσ̆εν δυστύχημαν
3	πριν	Lexical Adverb	Verb (lexical)	επειδή	δέκα	δαμέ κανένας εν έρκεται επειδή πριν δέκα μέρες είσ̆εν δυστύχημαν
3	δέκα	Numeral Adjective	Lexical Adverb	πριν	μέρες	δαμέ κανένας εν έρκεται επειδή πριν δέκα μέρες είσ̆εν δυστύχημαν
3	μέρες	Noun (lexical)	Subordinating Conjunction	δέκα	είσ̆εν	δαμέ κανένας εν έρκεται επειδή πριν δέκα μέρες είσ̆εν δυστύχημαν
3	είσ̆εν	Auxiliary Verb	Verb (lexical)	μέρες	δυστύχημαν	δαμέ κανένας εν έρκεται επειδή πριν δέκα μέρες είσ̆εν δυστύχημαν
3	δυστύχημαν	Noun (lexical)	Lexical Adverb	είσ̆εν	<EOS>	δαμέ κανένας εν έρκεται επειδή πριν δέκα μέρες είσ̆εν δυστύχημαν
3	να	Subordinating Conjunction	Other Particle	<BOS>	μεν	να μεν ξεράνουν εν κρίμα τα καημένα τζ̆αι εν πολλά όμορφα δέντρα
3	μεν	Negation Particle	Modal Verb	να	ξεράνουν	να μεν ξεράνουν εν κρίμα τα καημένα τζ̆αι εν πολλά όμορφα δέντρα
3	ξεράνουν	Verb (lexical)	Subordinating Conjunction	μεν	εν	να μεν ξεράνουν εν κρίμα τα καημένα τζ̆αι εν πολλά όμορφα δέντρα
3	εν	Copula Verb	Negation Particle	ξεράνουν	κρίμα	να μεν ξεράνουν εν κρίμα τα καημένα τζ̆αι εν πολλά όμορφα δέντρα
3	κρίμα	Noun (lexical)	Verb (lexical)	εν	τα	να μεν ξεράνουν εν κρίμα τα καημένα τζ̆αι εν πολλά όμορφα δέντρα
3	καημένα	Adjective (lexical)	Noun (lexical)	τα	τζ̆αι	να μεν ξεράνουν εν κρίμα τα καημένα τζ̆αι εν πολλά όμορφα δέντρα
3	πολλά	Lexical Adverb	Adjective (lexical)	εν	όμορφα	να μεν ξεράνουν εν κρίμα τα καημένα τζ̆αι εν πολλά όμορφα δέντρα
3	όμορφα	Lexical Adverb	Noun (lexical)	πολλά	δέντρα	να μεν ξεράνουν εν κρίμα τα καημένα τζ̆αι εν πολλά όμορφα δέντρα
3	δέντρα	Noun (lexical)	Pronoun	όμορφα	<EOS>	να μεν ξεράνουν εν κρίμα τα καημένα τζ̆αι εν πολλά όμορφα δέντρα
3	τούτα	Pronoun	Other Particle	<BOS>	εν	τούτα εν πολλά δυνατά για  εμένα προτιμώ πιο μιτσ̆ά
3	πολλά	Lexical Adverb	Adjective (lexical)	εν	δυνατά	τούτα εν πολλά δυνατά για  εμένα προτιμώ πιο μιτσ̆ά
3	δυνατά	Adjective (lexical)	Noun (lexical)	πολλά	για 	τούτα εν πολλά δυνατά για  εμένα προτιμώ πιο μιτσ̆ά
3	για 	Preposition	Coordinating Conjunction	δυνατά	εμένα	τούτα εν πολλά δυνατά για  εμένα προτιμώ πιο μιτσ̆ά
3	εμένα	Pronoun	Other Particle	για 	προτιμώ	τούτα εν πολλά δυνατά για  εμένα προτιμώ πιο μιτσ̆ά
3	προτιμώ	Verb (lexical)	Modal Verb	εμένα	πιο	τούτα εν πολλά δυνατά για  εμένα προτιμώ πιο μιτσ̆ά
3	πιο	Lexical Adverb	Subordinating Conjunction	προτιμώ	μιτσ̆ά	τούτα εν πολλά δυνατά για  εμένα προτιμώ πιο μιτσ̆ά
3	μιτσ̆ά	Adjective (lexical)	Verb (lexical)	πιο	<EOS>	τούτα εν πολλά δυνατά για  εμένα προτιμώ πιο μιτσ̆ά
4	επήρεν	Verb (lexical)	Pronoun	ομονοιάτης	μιτά	ο ομονοιάτης επήρεν μιτά του αποελίστες τζ̆αι έσ̆σ̆ιζεν τους
4	μιτά	Lexical Adverb	Noun (lexical)	επήρεν	του	ο ομονοιάτης επήρεν μιτά του αποελίστες τζ̆αι έσ̆σ̆ιζεν τους
4	έσ̆σ̆ιζεν	Verb (lexical)	Noun (lexical)	τζ̆αι	τους	ο ομονοιάτης επήρεν μιτά του αποελίστες τζ̆αι έσ̆σ̆ιζεν τους
4	εχτές	Lexical Adverb	Other Particle	<BOS>	έδωκα	εχτές έδωκα κάτω πού την μεάλη σκάλαν τζ̆αι εσ̆σ̆υλλοπόνησα
4	κάτω	Lexical Adverb	Function Adverb	έδωκα	πού	εχτές έδωκα κάτω πού την μεάλη σκάλαν τζ̆αι εσ̆σ̆υλλοπόνησα
4	πού	Preposition	Coordinating Conjunction	κάτω	την	εχτές έδωκα κάτω πού την μεάλη σκάλαν τζ̆αι εσ̆σ̆υλλοπόνησα
4	την	Pronoun	Determiner: Article	πού	μεάλη	εχτές έδωκα κάτω πού την μεάλη σκάλαν τζ̆αι εσ̆σ̆υλλοπόνησα
4	μεάλη	Adjective (lexical)	Noun (lexical)	την	σκάλαν	εχτές έδωκα κάτω πού την μεάλη σκάλαν τζ̆αι εσ̆σ̆υλλοπόνησα
4	σκάλαν	Noun (lexical)	Pronoun	μεάλη	τζ̆αι	εχτές έδωκα κάτω πού την μεάλη σκάλαν τζ̆αι εσ̆σ̆υλλοπόνησα
4	εσ̆σ̆υλλοπόνησα	Verb (lexical)	Determiner: Article	τζ̆αι	<EOS>	εχτές έδωκα κάτω πού την μεάλη σκάλαν τζ̆αι εσ̆σ̆υλλοπόνησα
4	κίτρινη	Adjective (lexical)	Lexical Adverb	είναι 	με	είναι  κίτρινη με άσπρον τζ̆αι μαύρες βούλες
4	άσπρον	Adjective (lexical)	Noun (lexical)	με	τζ̆αι	είναι  κίτρινη με άσπρον τζ̆αι μαύρες βούλες
4	μαύρες	Adjective (lexical)	Determiner: Article	τζ̆αι	βούλες	είναι  κίτρινη με άσπρον τζ̆αι μαύρες βούλες
4	βλέπει	Verb (lexical)	Coordinating Conjunction	αγόριν	το	το αγόριν βλέπει το τρένον
4	χιονάνθρωπος	Noun (lexical)	Adjective (lexical)	εν	<EOS>	εν χιονάνθρωπος
4	περπατά	Verb (lexical)	Copula Verb	<BOS>	στο	περπατά στο δρόμον στην άκρη
4	δρόμον	Noun (lexical)	Pronoun	στο	στην	περπατά στο δρόμον στην άκρη
4	άκρη	Noun (lexical)	Pronoun	στην	<EOS>	περπατά στο δρόμον στην άκρη
4	λούναπαρκ	Noun (lexical)	Pronoun	στο	παίζουν	στο λούναπαρκ παίζουν τα μωρά
4	ήταν	Copula Verb	Verb (lexical)	<BOS>	μπλε	ήταν μπλε το φόρεμαν της σταχτοπούτας
4	μπλε	Adjective (lexical)	Coordinating Conjunction	ήταν	το	ήταν μπλε το φόρεμαν της σταχτοπούτας
4	της	Determiner: Article	Pronoun	φόρεμαν	σταχτοπούτας	ήταν μπλε το φόρεμαν της σταχτοπούτας
4	εγώ	Pronoun	Copula Verb	<BOS>	στο	εγώ στο σχολείον μου τρώω τυρόπιτα τζ̆αι γαλατάκι
4	τρώω	Verb (lexical)	Copula Verb	μου	τυρόπιτα	εγώ στο σχολείον μου τρώω τυρόπιτα τζ̆αι γαλατάκι
4	τυρόπιτα	Noun (lexical)	Adjective (lexical)	τρώω	τζ̆αι	εγώ στο σχολείον μου τρώω τυρόπιτα τζ̆αι γαλατάκι
4	γαλατάκι	Noun (lexical)	Determiner: Article	τζ̆αι	<EOS>	εγώ στο σχολείον μου τρώω τυρόπιτα τζ̆αι γαλατάκι
4	σταμάτα	Verb (lexical)	Modal Verb	<BOS>	να	σταμάτα να διάς το τηλέφωνο σου της κάθεμιας τζ̆αι εβαρέθηκα να σου το λαλώ συνέχεια
4	να	Complimentiser	Subordinating Conjunction	σταμάτα	διάς	σταμάτα να διάς το τηλέφωνο σου της κάθεμιας τζ̆αι εβαρέθηκα να σου το λαλώ συνέχεια
4	κάθεμιας	Determiner: Quantifier	Noun (lexical)	της	τζ̆αι	σταμάτα να διάς το τηλέφωνο σου της κάθεμιας τζ̆αι εβαρέθηκα να σου το λαλώ συνέχεια
4	να	Complimentiser	Subordinating Conjunction	εβαρέθηκα	σου	σταμάτα να διάς το τηλέφωνο σου της κάθεμιας τζ̆αι εβαρέθηκα να σου το λαλώ συνέχεια
4	σου	Pronoun	Verb (lexical)	να	το	σταμάτα να διάς το τηλέφωνο σου της κάθεμιας τζ̆αι εβαρέθηκα να σου το λαλώ συνέχεια
4	λαλώ	Verb (lexical)	Noun (lexical)	το	συνέχεια	σταμάτα να διάς το τηλέφωνο σου της κάθεμιας τζ̆αι εβαρέθηκα να σου το λαλώ συνέχεια
4	συνέχεια	Lexical Adverb	Pronoun	λαλώ	<EOS>	σταμάτα να διάς το τηλέφωνο σου της κάθεμιας τζ̆αι εβαρέθηκα να σου το λαλώ συνέχεια
5	τόσα	Function Adverb	Other Particle	<BOS>	φοινίτζ̆ια	τόσα φοινίτζ̆ια εν  είδα ξανά ποττέ μου
